year,upper_precip,lower_precip,crb_precip,upper_pdsi,lower_pdsi,crb_pdsi
2015,17.99,14.5,16.245,0.5266666666666666,-0.5041666666666667,0.011249999999999974
2016,16.13,12.17,14.15,0.3433333333333333,-2.0316666666666667,-0.8441666666666667
2017,14.450000000000001,9.54,11.995000000000001,-0.835,-1.6725,-1.25375
2018,12.39,11.27,11.83,-4.461666666666667,-3.4450000000000003,-3.953333333333333
2019,17.16,14.280000000000001,15.72,0.6066666666666666,0.5191666666666667,0.5629166666666666
2020,10.08,6.55,8.315000000000001,-3.6758333333333333,-1.0308333333333335,-2.3533333333333335
2021,14.92,12.25,13.585,-6.038333333333333,-3.8674999999999997,-4.952916666666666
2022,14.61,12.139999999999999,13.375,-4.074166666666667,-1.5716666666666665,-2.8229166666666665
2023,15.49,10.81,13.15,-0.18833333333333338,0.05250000000000007,-0.0679166666666667
